YEAR,WINNER,RUNNER-UP,WINNER_NATIONALITY,TOURNAMENT_SURFACE,TOURNAMENT,WINNER_PRIZE,MEAN_PRIZE,GENDER
2023,Novak Djokovic,Stefanos Tsitsipas,Serbian,Plexicushion Prestige,Australian Open,1373500,1373500,Male
2022,Carlos Alcaraz,Casper Rudd,Spanish,DecoTurf - outdoors,U.S. Open,2600000,2681749,Male
2022,Novak Djokovic,Nick Kyrgios,Serbian,Grass / Outdoor,Wimbledon,3159399,2681749,Male
2022,Rafael Nadal,Casper Rudd,Spanish,Clay,French Open,2019600,2681749,Male
2022,Rafael Nadal,Daniil Medvedev,Spanish,Plexicushion Prestige,Australian Open,2948000,2681749,Male
2021,Daniil Medvedev,Novak Djokovic,Russian,DecoTurf - outdoors,U.S. Open,2500000,2020062,Male
2021,Novak Djokovic,Matteo Berrettini,Serbian,Grass / Outdoor,Wimbledon,2142000,2020062,Male
2021,Novak Djokovic,Stefanos Tsitsipas,Serbian,Clay,French Open,1512000,2020062,Male
2021,Novak Djokovic,Daniil Medvedev,Serbian,Plexicushion Prestige,Australian Open,1926250,2020062,Male
2020,Rafael Nadal,Novak Djokovic,Spanish,Clay,French Open,1728000,2329466,Male
2020,Dominic Thiem,Alexander Zverev,Austrian,DecoTurf - outdoors,U.S. Open,2500000,2329466,Male
2020,Novak Djokovic,Dominic Thiem,Serbian,Plexicushion Prestige,Australian Open,2760400,2329466,Male
2019,Rafael Nadal,Daniil Medvedev,Spanish,DecoTurf - outdoors,U.S. Open,3850000,3010500,Male
2019,Novak Djokovic,Roger Federer,Serbian,Grass / Outdoor,Wimbledon,2961000,3010500,Male
2019,Rafael Nadal,Dominic Thiem,Spanish,Clay,French Open,2484000,3010500,Male
2019,Novak Djokovic,Rafael Nadal,Serbian,Plexicushion Prestige,Australian Open,2747000,3010500,Male
2018,Novak Djokovic,Juan Martin del Potro,Serbian,DecoTurf - outdoors,U.S. Open,3800000,2922750,Male
2018,Novak Djokovic,Kevin Anderson,Serbian,Grass / Outdoor,Wimbledon,2835000,2922750,Male
2018,Rafael Nadal,Dominic Thiem,Spanish,Clay,French Open,2376000,2922750,Male
2018,Roger Federer,Marin ili,Swiss,Plexicushion Prestige,Australian Open,2680000,2922750,Male
2017,Rafael Nadal,Kevin Anderson,Spanish,DecoTurf - outdoors,U.S. Open,3700000,2804750,Male
2017,Roger Federer,Marin ili,Swiss,Grass / Outdoor,Wimbledon,2772000,2804750,Male
2017,Rafael Nadal,Stan Wawrinka,Spanish,Clay,French Open,2268000,2804750,Male
2017,Roger Federer,Rafael Nadal,Swiss,Plexicushion Prestige,Australian Open,2479000,2804750,Male
2016,Stan Wawrinka,Novak Djokovic,Swiss,DecoTurf - outdoors,U.S. Open,3500000,2614500,Male
2016,Andy Murray,Milos Raonic,British,Grass / Outdoor,Wimbledon,2520000,2614500,Male
2016,Novak Djokovic,Andy Murray,Serbian,Clay,French Open,2160000,2614500,Male
2016,Novak Djokovic,Andy Murray,Serbian,Plexicushion Prestige,Australian Open,2278000,2614500,Male
2015,Novak Djokovic,Roger Federer,Serbian,DecoTurf - outdoors,U.S. Open,3300000,2422450,Male
2015,Novak Djokovic,Roger Federer,Serbian,Grass / Outdoor,Wimbledon,2368800,2422450,Male
2015,Stan Wawrinka,Novak Djokovic,Swiss,Clay,French Open,1944000,2422450,Male
2015,Novak Djokovic,Andy Murray,Serbian,Plexicushion Prestige,Australian Open,2077000,2422450,Male
2014,Marin Cilic,Kei Nishikori,Croatian,DecoTurf - outdoors,U.S. Open,3000000,2193775,Male
2014,Novak Djokovic,Roger Federer,Serbian,Grass / Outdoor,Wimbledon,2217600,2193775,Male
2014,Rafael Nadal,Novak Djokovic,Spanish,Clay,French Open,1782000,2193775,Male
2014,Stan Wawrinka,Rafael Nadal,Swiss,Plexicushion Prestige,Australian Open,1775500,2193775,Male
2013,Rafael Nadal,Novak Djokovic,Spanish,DecoTurf - outdoors,U.S. Open,2600000,1966025,Male
